game_name,metascore,critic_reviews,user_score,user_score_rating,developer,game_genre,num_players,Cheats,rating_number
Transistor,86,9,8,85,Supergiant Games,"Role-Playing,Action RPG",No Online Multiplayer,On GameFAQs,T
Minecraft,86,24,7.4,344,"4J Studios,Mojang AB","Action Adventure,Sandbox",Up to 8,On GameFAQs,E10+
Shantae and the Pirate's Curse,86,11,8.1,76,WayForward,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,T
Guacamelee! Super Turbo Championship Edition,86,9,7.9,57,DrinkBox Studios,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,
Star Wars Pinball,86,30,7.4,38,Zen Studios,"Action,Pinball",No Online Multiplayer,On GameFAQs,E10+
Sid Meier's Civilization VI,86,31,7.6,213,"Firaxis Games,Aspyr","Strategy,Turn-Based,4X",No Online Multiplayer,On GameFAQs,E10+
Crypt of the NecroDancer: Nintendo Switch Edition,86,8,7.2,94,Brace Yourself Games,"Action,Role-Playing,Rhythm,General,Action RPG,Music",No Online Multiplayer,On GameFAQs,T
Warframe,86,7,8.1,116,Digital Extremes,"Action,Shooter,Third-Person,Arcade",Online Multiplayer,On GameFAQs,M
Luigi's Mansion 3,86,106,8.5,1191,"Next Level Games,Nintendo","Action Adventure,General",Up to 8,On GameFAQs,E
AI: The Somnium Files,86,13,8.8,548,Spike Chunsoft,"Action Adventure,General",No Online Multiplayer,On GameFAQs,M
Assault Android Cactus+,86,11,8.2,36,Witch Beam,"Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,On GameFAQs,E10+
Sumire,86,17,8.1,11,GameTomo,"Adventure,General",No Online Multiplayer,On GameFAQs,
Huntdown,86,8,8.3,65,"Coffee Stain Studios,Easy Trigger Games","Action,General,Platformer,2D",2,On GameFAQs,T
BlazBlue: Central Fiction - Special Edition,86,14,8.2,30,Arc System Works,"Action,Fighting,2D",Up to 8,On GameFAQs,T
Sonic Mania,86,21,8.4,802,Tantalus,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E
Mini Metro,86,9,8.1,37,"Radial Games Corp.,Dinosaur Polo Club","Strategy,Management,Government",No Online Multiplayer,On GameFAQs,E
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,85,65,8,297,Brace Yourself Games,"Action,Rhythm,Music",No Online Multiplayer,On GameFAQs,E
Thumper,85,15,8,101,Drool,"Action,Rhythm,Music",No Online Multiplayer,On GameFAQs,E10+
Kingdom Two Crowns,85,11,7.3,32,"Raw Fury,Noio","Action,Action Adventure,General",Online Multiplayer,On GameFAQs,E10+
Blaster Master Zero II,85,11,8.2,37,Inti Creates,"Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,On GameFAQs,E10+
Final Fantasy XII: The Zodiac Age,85,30,8.4,138,Square Enix,"Role-Playing,Japanese-Style",No Online Multiplayer,On GameFAQs,T
Slay the Spire,85,13,8.3,97,Mega Crit Games,"Strategy,Turn-Based,Card Battle",No Online Multiplayer,On GameFAQs,E10+
Bug Fables: The Everlasting Sapling,85,14,8.4,116,Moonsprout Games,"Action Adventure,General,Role-Playing,Action RPG",No Online Multiplayer,On GameFAQs,E
Night in the Woods,85,17,7.6,153,Infinite Fall,"Action Adventure,Adventure,General",No Online Multiplayer,On GameFAQs,T
The Binding of Isaac: Afterbirth +,85,16,8.3,295,"Edmund McMillen,Nicalis","Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,On GameFAQs,M
